Year,Month,Day,ang_vel
2007,9,3,1.2277017
2007,9,4,1.1524606
2007,9,5,0.02031965
2007,9,6,0.09885805
2007,9,7,0.21048445
2007,9,8,0.8568678
2007,9,9,0.649341
2007,9,10,1.4200196
2007,9,11,0.4466636
2007,9,12,0.87057
2007,9,13,1.300004
2007,9,14,0.65454924
2007,9,15,0.15209003
2007,9,16,0.13044415
2007,9,17,1.322249
2007,9,18,0.036948815
2007,9,19,0.083860956
2007,9,20,0.6239468
2007,9,21,0.79614747
2007,9,22,0.39244407
2007,9,23,0.9214891
2007,9,24,3.116252
2007,9,25,1.0204549
2007,9,26,1.6663032
2007,9,27,1.9484688
2007,9,28,2.9449697
2007,9,29,1.6643044
2007,9,30,1.2026076
2007,10,1,0.6057447
2007,10,2,1.1906745
2007,10,3,1.41091
2007,10,4,1.922067
2007,10,5,1.5934849
2007,10,6,0.40135837
2007,10,7,0.65228534
2007,10,8,1.5614818
2007,10,9,1.983946
2007,10,10,1.9050509
2007,10,11,0.06418476
2007,10,12,2.9126394
2007,10,13,1.3977177
2007,10,14,0.6238288
2007,10,15,1.6702539
2007,10,16,0.5816472
2007,10,17,1.0746733
2007,10,18,1.2250534
2007,10,19,1.2786249
2007,10,20,0.92606825
2007,10,21,1.254857
2007,10,22,1.380793
2007,10,23,1.3739632
2007,10,24,1.2322624
2007,10,25,1.4247828
2007,10,26,1.3436273
2007,10,27,1.2274967
2007,10,28,0.24434906
2007,10,29,0.2941555
2007,10,30,0.5843811
2007,10,31,0.44930148
2007,11,1,1.7561014
2007,11,2,0.6729592
2007,11,3,0.87996966
2007,11,4,1.1769629
2007,11,5,0.3791921
2007,11,6,0.27967292
2007,11,7,0.71938646
2007,11,8,0.79930735
2007,11,9,0.9234011
2007,11,10,0.80994874
2007,11,11,1.3099078
2007,11,12,1.1084638
2007,11,13,2.4860191
2007,11,14,1.5973997
2007,11,15,0.38675332
2007,11,16,0.13099633
2007,11,17,1.0681612
2007,11,18,1.2872577
2007,11,19,3.1042652
2007,11,20,1.9353645
2007,11,21,2.2009747
2007,11,22,1.6509141
2007,11,23,0.8058983
2007,11,24,0.20220633
2007,11,25,1.1477557
2007,11,26,1.3164539
2007,11,27,1.3164775
2007,11,28,2.380258
2007,11,29,1.242363
2007,11,30,1.8240556
2007,12,1,0.023128433
2007,12,2,2.9392796
2007,12,3,0.5475726
2007,12,4,1.6098182
2007,12,5,0.81828445
2007,12,6,0.103939116
2007,12,7,1.7344111
2007,12,8,0.93967533
2007,12,9,2.2880666
2007,12,10,1.0519731
2007,12,11,0.96914417
2007,12,12,1.5074557
2007,12,13,1.6025628
2007,12,14,1.7408863
2007,12,15,1.330455
2007,12,16,1.2993274
2007,12,17,1.3178188
2007,12,18,1.0805436
2007,12,19,0.50385267
2007,12,20,1.1842239
2007,12,21,1.3355758
2007,12,22,1.4630679
2007,12,23,1.2547445
2007,12,24,0.4458265
2007,12,25,1.4481368
2007,12,26,1.1922988
2007,12,27,0.3959079
2007,12,28,0.63737893
2007,12,29,1.961097
2007,12,30,1.1995409
2007,12,31,1.5733857
